dataset,setting,lambda,gamma,replica_index,auroc,auprc,f1,shd,core_runtime_sec,end_to_end_runtime_sec,predicted_edges,gt_edges,tp,fp,fn,tn
ND8,lambda_0_gamma_0,0.0,0.0,2,0.5867269984917044,0.2613751942316833,0.29629629629629634,16.0,1313.5708016366698,1313.6676408131607,14,13,4,10,9,41
ND8,lambda_0_gamma_0,0.0,0.0,3,0.5972850678733032,0.26609711972615196,0.35000000000000003,23.0,1312.9622041569091,1313.0606759889051,27,13,7,20,6,31
ND8,lambda_0_gamma_0,0.0,0.0,4,0.5972850678733032,0.26609711972615196,0.35000000000000003,23.0,1312.8321686168201,1312.940063728951,27,13,7,20,6,31
ND8,lambda_1.5_gamma_0.00625,1.5,0.00625,0,0.7631975867269984,0.45063788478935746,0.5217391304347826,10.0,1316.2783089028671,1316.3876894218847,10,13,6,4,7,47
ND8,lambda_1.5_gamma_0.00625,1.5,0.00625,1,0.7586726998491704,0.47014782514782516,0.38095238095238093,38.0,1316.7906715897843,1316.8940696050413,50,13,12,38,1,13
ND8,lambda_1.5_gamma_0.00625,1.5,0.00625,2,0.7647058823529411,0.4611226273726273,0.41269841269841273,37.0,1316.9039762718603,1317.0100008533336,50,13,13,37,0,14
ND8,lambda_1.5_gamma_0.00625,1.5,0.00625,3,0.7662141779788839,0.43386342996792504,0.5217391304347826,10.0,1315.7655331534334,1315.8670632820576,10,13,6,4,7,47
ND8,lambda_1.5_gamma_0.00625,1.5,0.00625,4,0.7662141779788839,0.43386342996792504,0.5217391304347826,10.0,1310.6056982208975,1310.7144563519396,10,13,6,4,7,47
ND8,lambda_1.5_gamma_0,1.5,0.0,0,0.7058823529411765,0.4034689490259782,0.4,35.0,1321.977897589095,1322.1034472379833,47,13,12,35,1,16
ND8,lambda_1.5_gamma_0,1.5,0.0,1,0.7013574660633484,0.39336127068705296,0.38596491228070173,34.0,1315.1050340938382,1315.2161275730468,44,13,11,33,2,18
ND8,lambda_1.5_gamma_0,1.5,0.0,2,0.6968325791855203,0.3796011966025082,0.4,35.0,1310.0363767300732,1310.141300832387,47,13,12,35,1,16
ND8,lambda_1.5_gamma_0,1.5,0.0,3,0.698340874811463,0.39154343965703,0.4,35.0,1310.2986912149936,1310.409856856335,47,13,12,35,1,16
ND8,lambda_1.5_gamma_0,1.5,0.0,4,0.698340874811463,0.39154343965703,0.4,35.0,1309.492472087033,1309.632001052145,47,13,12,35,1,16
